Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0044	0.0034	0.9966	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.59	-5100	944	-6705	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0044	0.0034	0.9966	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.59	-5100	944	-6705	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0044	0.0034	0.9966	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.59	-5100	944	-6705	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0044	0.0034	0.9966	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.59	-5100	944	-6705	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0049	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5098	939	-6703	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0049	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5098	939	-6703	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0049	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5098	939	-6703	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0049	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.58	-5098	939	-6703	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.61	-5099	941	-6690	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
 None	0.0044	0.0034	0.9971	0.0	0.0	0.0	-0.165	-0.456	-56.382	33.61	-5099	941	-6690	333.1050971	32.5630372	202.78	0.0	0.88135	0.00043	-0.00308	-0.47238
